path,x_mean,x_std,x_skew,x_kurtosis,x_rms,x_peak_to_peak,x_crest_factor,x_median,x_iqr,x_spectral_centroid,x_dominant_freq,x_spectral_entropy,y_mean,y_std,y_skew,y_kurtosis,y_rms,y_peak_to_peak,y_crest_factor,y_median,y_iqr,y_spectral_centroid,y_dominant_freq,y_spectral_entropy,z_mean,z_std,z_skew,z_kurtosis,z_rms,z_peak_to_peak,z_crest_factor,z_median,z_iqr,z_spectral_centroid,z_dominant_freq,z_spectral_entropy,resultant_mean,resultant_std,corr_xy,corr_yz,label
2021-08-24 10:19:46,-0.1853333333333333,0.0018856180831641,-0.7071067811865183,-1.500000000000027,0.1853429254112495,0.004,1.0143359914161303,-0.184,0.002,0.1666666666666666,0.3333333333333333,1.0,0.9853333333333332,0.0018856180831641,0.7071067811866064,-1.4999999999999447,0.9853351375716454,0.004,1.002704523898254,0.984,0.002,0.1666666666666666,0.0,1.0,-0.0653333333333333,0.0018856180831641,-0.7071067811865404,-1.5000000000000069,0.0653605385534727,0.004,1.04038310429966,-0.064,0.002,0.1666666666666666,0.0,1.0,1.0047417611056122,0.0018239582578501,0.4999999999999999,-1.0,normal_like
2021-08-24 10:19:51,-0.185,0.0033166247903554,0.4933822002181586,-1.3719008264462809,0.1850297273413113,0.008,1.0160529483578258,-0.186,0.005,0.1085521216101194,0.0,0.9222291232375436,0.988,0.0048989794855663,0.816496580927726,-1.0,0.9880121456743332,0.012,1.0080847734105605,0.986,0.006,0.104956983904538,0.0,0.9186919105001624,-0.064,0.0074833147735478,0.6872431934890929,-0.9999999999999992,0.064436014774348,0.0199999999999999,1.1173875394222204,-0.066,0.008,0.1168512755037384,0.0,0.9404110383341096,1.0072428879133888,0.0042148247764709,0.7385489458759964,0.3273268353539884,normal_like
2021-08-24 10:19:56,-0.189,0.0043588989435406,-0.6520236646847541,-0.9030470914127426,0.1890502578681129,0.012,1.0367613470048724,-0.188,0.003,0.1083458246888642,0.0,0.9219438262690682,0.988,0.0056568542494923,0.0,-1.0,0.9880161941992652,0.016,1.0080806426520137,0.988,0.004,0.1035533905932737,0.0,0.9182958340544896,-0.066,0.0044721359549995,4.143175857718211e-15,-1.3600000000000003,0.0661513416341649,0.0119999999999999,1.0884132992659674,-0.066,0.006,0.110935251373775,0.0,0.9261626656714028,1.0080956472645577,0.0059300899025835,-0.3244428422615251,-0.3162277660168371,normal_like
2021-08-24 10:20:01,-0.187,0.0017320508075688,1.1547005383792512,-0.666666666666667,0.1870080212183424,0.004,1.005304471830618,-0.188,0.001,0.1060383153105917,0.0,0.9194149936739352,0.985,0.0017320508075688,1.1547005383792517,-0.6666666666666665,0.9850015228414624,0.004,1.0030441345398988,0.984,0.001,0.1035533905932737,0.0,0.9182958340544896,-0.066,0.0044721359549995,4.143175857718211e-15,-1.3600000000000003,0.0661513416341649,0.0119999999999999,1.0884132992659674,-0.066,0.006,0.110935251373775,0.0,0.9261626656714028,1.0047746911446394,0.0019544910321271,-0.3333333333333333,-0.2581988897471619,normal_like
2021-08-24 10:20:06,-0.19,0.002,0.0,-2.0,0.1900105260242179,0.004,1.010470335598766,-0.19,0.002,0.0,0.0,0.0,0.99,0.002,0.0,-2.0,0.990002020199959,0.004,1.0020181572949067,0.99,0.002,0.0,0.0,0.0,-0.07,0.0019999999999999,1.0443155233482052e-14,-2.0,0.0700285656000463,0.0039999999999999,1.0281518603448896,-0.07,0.0019999999999999,0.0,0.0,0.0,1.0104984777199393,0.0021969355213765,-1.0,1.0,misalignment_like
2021-08-24 10:20:11,-0.188,2.775557561562892e-17,,,0.188,0.0,0.9999999999946808,-0.188,0.0,0.1666666666666666,0.0,1.0,0.9853333333333332,0.0037712361663282,-0.7071067811865183,-1.500000000000027,0.9853405502667594,0.008,1.0026990158189653,0.988,0.004,0.1666666666666666,0.0,1.0,-0.0693333333333333,0.0049888765156985,-0.3818017741605998,-1.5000000000000029,0.069512588787931,0.0119999999999999,1.0933271415162995,-0.068,0.006,0.1666666666666666,0.0,1.0,1.0055136407204652,0.0037839562729277,9.813077866773583e-15,-0.1889822365046131,normal_like
2021-08-24 10:20:16,-0.19,0.002,0.0,-2.0,0.1900105260242179,0.004,1.010470335598766,-0.19,0.002,0.0,0.0,0.0,0.99,0.002,0.0,-2.0,0.990002020199959,0.004,1.0020181572949067,0.99,0.002,0.0,0.0,0.0,-0.066,0.0059999999999999,3.431267726145896e-15,-2.0,0.0662721661031235,0.0119999999999999,1.0864289524938289,-0.066,0.0059999999999999,0.0,0.0,0.0,1.010246791453143,0.0011917879969389,1.0,1.0,misalignment_like
2021-08-24 10:20:21,-0.186,0.006,-0.8888888888888887,-0.8148148148148153,0.1860967490312498,0.016,1.0532156043523035,-0.184,0.004,0.1107820914405903,0.0,0.9258759981234091,0.984,0.004,0.0,-2.0,0.9840081300477146,0.008,1.0040567448879592,0.984,0.008,0.1035533905932737,0.0,0.9182958340544896,-0.069,0.0033166247903553,0.4933822002181666,-1.3719008264462746,0.0690796641566821,0.0079999999999999,1.0422748992475095,-0.07,0.0049999999999999,0.1168512755037384,0.0,0.9404110383341096,1.0038251917209848,0.0033142821738383,0.6666666666666666,-0.3015113445777642,normal_like
2021-08-24 10:20:26,-0.1856,0.0040792156108742,-0.2715454178836476,-1.0443786982248495,0.1856448221739567,0.012,1.0342329926070009,-0.184,0.004,0.0994772818564016,0.0,0.9480190007999286,0.9816,0.0040792156108742,0.2715454178836884,-1.0443786982248349,0.9816084759210262,0.012,1.006511276374188,0.98,0.004,0.0960837572274645,0.0,0.9279046123681328,-0.0648,0.0016,-1.50000000000001,0.2500000000000204,0.0648197500766548,0.004,1.0490629772335616,-0.064,0.0,0.0966276003214316,0.0,0.9310199847313096,1.0011003150903528,0.0043542078494605,-0.4230769230769231,0.196116135138184,normal_like
2021-08-24 10:20:31,-0.186,0.002,0.0,-2.0,0.1860107523773827,0.004,1.0106942614670509,-0.186,0.004,0.1060383153105917,0.0,0.9194149936739352,0.985,0.0043588989435406,0.6520236646847541,-0.9030470914127426,0.985009644622833,0.012,1.007096738000811,0.984,0.003,0.1035533905932737,0.0,0.9182958340544896,-0.066,0.0044721359549995,4.143175857718211e-15,-1.3600000000000008,0.0661513416341649,0.0119999999999999,1.0884132992659674,-0.066,0.006,0.1168512755037384,0.0,0.9404110383341096,1.004590679537082,0.0041912512718762,0.6882472016116853,-0.5129891760425778,normal_like
